Child Object,Lookup Field API Name,Lookup Field Label,Parent Object (Inferred),Is Custom Field,Is Required,Is Nillable,Migration Priority,Notes
Service_Order_Line__c,Service_Order__c,Service Order,Service_Order__c,Yes,Yes,No,CRITICAL,MUST have value on initial load
Service_Order_Line__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Service_Order_Line__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Service_Order_Line__c,Billing_Account_Number__c,Billing Account Number,BAN__c or Account,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,DC_Engineer__c,DC Engineer,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,Employee__c,Employee,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,ISP_Engineer__c,ISP Engineer,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,Inside_Transloc__c,Inside Transloc,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,OSP_Engineer__c,OSP Engineer,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,Opportunity__c,Opportunity,Opportunity,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,Outside_Transloc__c,Outside Transloc,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,Provider__c,Account Name,Account,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,Service_Detail__c,Service Detail,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,Service__c,Service,Service__c,Yes,No,Yes,MEDIUM,Can be populated later
Service_Order_Line__c,TaskRay_Principal_Template__c,TaskRay Principal Template,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Task,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Task,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Task,OwnerId,Assigned To ID,User,No,Yes,No,HIGH,MUST have value on initial load
Task,Opportunity__c,Opportunity,Opportunity,Yes,No,Yes,MEDIUM,Can be populated later
Task,Related_Service__c,Related Service,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Task,Service_Order_Line__c,Service Order Line,Service_Order_Line__c,Yes,No,Yes,MEDIUM,Can be populated later
Task,Service_Orders__c,Service Orders,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Task,AccountId,Account ID,Account,No,No,Yes,LOW,Can be populated later
Task,RecordTypeId,Task Record Type ID,RecordType,No,No,Yes,LOW,Can be populated later
Task,RecurrenceActivityId,Recurrence Activity ID,Unknown,No,No,Yes,LOW,Can be populated later
Task,WhatId,Related To ID,Polymorphic (Contact/Lead or Object),No,No,Yes,LOW,Can be populated later
Task,WhoId,Name ID,Polymorphic (Contact/Lead or Object),No,No,Yes,LOW,Can be populated later
